timestamp,message
1748507117929,"event ... {'version': '0', 'id': 'd2d03ed7-353f-1b1d-cb03-46580c67dca6', 'detail-type': 'ECS Service Action', 'source': 'aws.ecs', 'account': '314977818259', 'time': '2025-05-29T08:25:16Z', 'region': 'us-east-1', 'resources': ['arn:aws:ecs:us-east-1:314977818259:service/microservices-serverlesscluster/customer-microservice'], 'detail': {'eventType': 'INFO', 'eventName': 'SERVICE_STEADY_STATE', 'clusterArn': 'arn:aws:ecs:us-east-1:314977818259:cluster/microservices-serverlesscluster', 'createdAt': '2025-05-29T08:25:16.126Z'}}
"
1748507118167,"Deleting the tasks at ECS cluster : {'clusterArn': 'arn:aws:ecs:us-east-1:314977818259:cluster/microservices-serverlesscluster', 'clusterName': 'microservices-serverlesscluster', 'status': 'ACTIVE', 'registeredContainerInstancesCount': 0, 'runningTasksCount': 7, 'pendingTasksCount': 0, 'activeServicesCount': 2, 'statistics': [], 'tags': [], 'settings': [], 'capacityProviders': [], 'defaultCapacityProviderStrategy': []}
"
1748507118592,"Completed stopping all the running ECS tasks at the cluster
"
1748507118593,"END RequestId: d7f8d8d0-74f5-4cb2-a137-681cd57cafd9
"
1748507118593,"REPORT RequestId: d7f8d8d0-74f5-4cb2-a137-681cd57cafd9	Duration: 664.73 ms	Billed Duration: 665 ms	Memory Size: 128 MB	Max Memory Used: 79 MB	
"
1748507179067,"START RequestId: dcc39bdc-bd3c-44a7-9a55-df9ea86c2725 Version: $LATEST
"
1748507179067,"event ... {'version': '0', 'id': '66b24916-006a-7411-a058-c73091e35b4c', 'detail-type': 'ECS Service Action', 'source': 'aws.ecs', 'account': '314977818259', 'time': '2025-05-29T08:26:18Z', 'region': 'us-east-1', 'resources': ['arn:aws:ecs:us-east-1:314977818259:service/microservices-serverlesscluster/employee-microservice'], 'detail': {'eventType': 'INFO', 'eventName': 'SERVICE_STEADY_STATE', 'clusterArn': 'arn:aws:ecs:us-east-1:314977818259:cluster/microservices-serverlesscluster', 'createdAt': '2025-05-29T08:26:18.648Z'}}
"
1748507179324,"Deleting the tasks at ECS cluster : {'clusterArn': 'arn:aws:ecs:us-east-1:314977818259:cluster/microservices-serverlesscluster', 'clusterName': 'microservices-serverlesscluster', 'status': 'ACTIVE', 'registeredContainerInstancesCount': 0, 'runningTasksCount': 1, 'pendingTasksCount': 6, 'activeServicesCount': 2, 'statistics': [], 'tags': [], 'settings': [], 'capacityProviders': [], 'defaultCapacityProviderStrategy': []}
"
1748507179643,"Completed stopping all the running ECS tasks at the cluster
"
1748507179644,"END RequestId: dcc39bdc-bd3c-44a7-9a55-df9ea86c2725
"
1748507179644,"REPORT RequestId: dcc39bdc-bd3c-44a7-9a55-df9ea86c2725	Duration: 577.44 ms	Billed Duration: 578 ms	Memory Size: 128 MB	Max Memory Used: 80 MB	
"
1748507222631,"START RequestId: ca04985f-97ef-4694-aca8-ac1574215687 Version: $LATEST
"
1748507222631,"event ... {'version': '0', 'id': 'a5737c55-b54f-2880-b36e-74b478b6174e', 'detail-type': 'ECS Service Action', 'source': 'aws.ecs', 'account': '314977818259', 'time': '2025-05-29T08:27:01Z', 'region': 'us-east-1', 'resources': ['arn:aws:ecs:us-east-1:314977818259:service/microservices-serverlesscluster/customer-microservice'], 'detail': {'eventType': 'INFO', 'eventName': 'SERVICE_STEADY_STATE', 'clusterArn': 'arn:aws:ecs:us-east-1:314977818259:cluster/microservices-serverlesscluster', 'createdAt': '2025-05-29T08:27:01.715Z'}}
"
1748507222883,"END RequestId: ca04985f-97ef-4694-aca8-ac1574215687
"
1748507222883,"REPORT RequestId: ca04985f-97ef-4694-aca8-ac1574215687	Duration: 252.29 ms	Billed Duration: 253 ms	Memory Size: 128 MB	Max Memory Used: 80 MB	
"
1748507535519,"START RequestId: 641faf61-f381-4389-84d9-f2ee50217bb9 Version: $LATEST
"
1748507535520,"event ... {'version': '0', 'id': '8739fdfa-33e4-eafc-bf3d-faa98bc77ee1', 'detail-type': 'ECS Service Action', 'source': 'aws.ecs', 'account': '314977818259', 'time': '2025-05-29T08:32:14Z', 'region': 'us-east-1', 'resources': ['arn:aws:ecs:us-east-1:314977818259:service/microservices-serverlesscluster/employee-microservice'], 'detail': {'eventType': 'INFO', 'eventName': 'SERVICE_STEADY_STATE', 'clusterArn': 'arn:aws:ecs:us-east-1:314977818259:cluster/microservices-serverlesscluster', 'createdAt': '2025-05-29T08:32:14.578Z'}}
"
1748507535778,"Deleting the tasks at ECS cluster : {'clusterArn': 'arn:aws:ecs:us-east-1:314977818259:cluster/microservices-serverlesscluster', 'clusterName': 'microservices-serverlesscluster', 'status': 'ACTIVE', 'registeredContainerInstancesCount': 0, 'runningTasksCount': 7, 'pendingTasksCount': 0, 'activeServicesCount': 2, 'statistics': [], 'tags': [], 'settings': [], 'capacityProviders': [], 'defaultCapacityProviderStrategy': []}
"
1748507536172,"Completed stopping all the running ECS tasks at the cluster
"
1748507536178,"END RequestId: 641faf61-f381-4389-84d9-f2ee50217bb9
"
1748507536178,"REPORT RequestId: 641faf61-f381-4389-84d9-f2ee50217bb9	Duration: 658.52 ms	Billed Duration: 659 ms	Memory Size: 128 MB	Max Memory Used: 80 MB	
"
1748507581450,"START RequestId: 919f7ba8-6aa4-4db5-8b78-f988ddb956f9 Version: $LATEST
"
1748507581450,"event ... {'version': '0', 'id': '2f25fbaa-3b9b-b923-c977-2f99232200c5', 'detail-type': 'ECS Service Action', 'source': 'aws.ecs', 'account': '314977818259', 'time': '2025-05-29T08:33:00Z', 'region': 'us-east-1', 'resources': ['arn:aws:ecs:us-east-1:314977818259:service/microservices-serverlesscluster/customer-microservice'], 'detail': {'eventType': 'INFO', 'eventName': 'SERVICE_STEADY_STATE', 'clusterArn': 'arn:aws:ecs:us-east-1:314977818259:cluster/microservices-serverlesscluster', 'createdAt': '2025-05-29T08:33:00.132Z'}}
"
1748507581699,"END RequestId: 919f7ba8-6aa4-4db5-8b78-f988ddb956f9
"
1748507581699,"REPORT RequestId: 919f7ba8-6aa4-4db5-8b78-f988ddb956f9	Duration: 249.41 ms	Billed Duration: 250 ms	Memory Size: 128 MB	Max Memory Used: 80 MB	
"
1748507621660,"START RequestId: ce8b4150-2b77-4452-b878-4db9698c91f6 Version: $LATEST
"
1748507621661,"event ... {'version': '0', 'id': '06af7a8e-7055-3d5d-bc24-335a18d1a8e2', 'detail-type': 'ECS Service Action', 'source': 'aws.ecs', 'account': '314977818259', 'time': '2025-05-29T08:33:41Z', 'region': 'us-east-1', 'resources': ['arn:aws:ecs:us-east-1:314977818259:service/microservices-serverlesscluster/employee-microservice'], 'detail': {'eventType': 'INFO', 'eventName': 'SERVICE_STEADY_STATE', 'clusterArn': 'arn:aws:ecs:us-east-1:314977818259:cluster/microservices-serverlesscluster', 'createdAt': '2025-05-29T08:33:41.144Z'}}
"
1748507621916,"END RequestId: ce8b4150-2b77-4452-b878-4db9698c91f6
"
1748507621916,"REPORT RequestId: ce8b4150-2b77-4452-b878-4db9698c91f6	Duration: 256.02 ms	Billed Duration: 257 ms	Memory Size: 128 MB	Max Memory Used: 80 MB	
"
1748507697969,"START RequestId: b141320f-0c3b-4299-9b81-576c89418e1b Version: $LATEST
"
1748507697975,"event ... {'version': '0', 'id': 'd7cc6448-24d2-a42c-07a9-db9069d79464', 'detail-type': 'ECS Service Action', 'source': 'aws.ecs', 'account': '314977818259', 'time': '2025-05-29T08:34:57Z', 'region': 'us-east-1', 'resources': ['arn:aws:ecs:us-east-1:314977818259:service/microservices-serverlesscluster/customer-microservice'], 'detail': {'eventType': 'INFO', 'eventName': 'SERVICE_STEADY_STATE', 'clusterArn': 'arn:aws:ecs:us-east-1:314977818259:cluster/microservices-serverlesscluster', 'createdAt': '2025-05-29T08:34:57.395Z'}}
"
1748507698215,"END RequestId: b141320f-0c3b-4299-9b81-576c89418e1b
"
1748507698215,"REPORT RequestId: b141320f-0c3b-4299-9b81-576c89418e1b	Duration: 246.60 ms	Billed Duration: 247 ms	Memory Size: 128 MB	Max Memory Used: 80 MB	
"
